amount,payment_method,merchant_category,subscription_status,failure_category,failure_code,attempt_number,previous_transactions,previous_successes,previous_failures,previous_recovery_successes,customer_failure_rate,hour_of_day,day_of_week,is_weekend,recovered
8204.56,credit_card,education,active,authentication_failure,AUTH_FAILED,3,28,26,2,2,0.0714285714285714,16,3,0,0
436.73,debit_card,food,none,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,26,21,5,1,0.1923076923076923,16,3,0,1
4703.18,upi,travel,active,merchant_error,MERCHANT_CONFIGURATION_ERROR,1,24,19,5,2,0.2083333333333333,17,3,0,1
15438.69,upi,travel,past_due,authentication_failure,OTP_FAILED,2,20,18,2,2,0.1,17,3,0,0
3043.99,upi,ecommerce,none,insufficient_funds,INSUFFICIENT_FUNDS,1,13,13,0,0,0.0,18,3,0,0
4662.8,credit_card,healthcare,active,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,6,5,1,1,0.1666666666666666,18,3,0,1
1357.81,credit_card,healthcare,past_due,insufficient_funds,BALANCE_LOW,2,13,13,0,0,0.0,19,3,0,0
7787.41,wallet,ecommerce,none,insufficient_funds,INSUFFICIENT_FUNDS,1,25,25,0,0,0.0,20,3,0,1
1031.28,wallet,saas,active,authentication_failure,AUTH_FAILED,2,23,18,5,3,0.217391304347826,22,3,0,0
2023.35,upi,food,past_due,transient,GATEWAY_TIMEOUT,1,5,3,2,1,0.4,23,3,0,1
5370.82,wallet,education,active,insufficient_funds,INSUFFICIENT_FUNDS,1,1,1,0,0,0.0,1,4,0,1
4889.02,wallet,food,active,unknown,UNKNOWN_ERROR,1,4,3,1,0,0.25,2,4,0,0
2282.99,credit_card,education,none,transient,GATEWAY_TIMEOUT,1,28,23,5,0,0.1785714285714285,2,4,0,1
1617.84,upi,travel,past_due,network_failure,NETWORK_ERROR,3,21,21,0,0,0.0,4,4,0,1
870.23,credit_card,travel,none,network_failure,NETWORK_ERROR,3,4,3,1,0,0.25,6,4,0,1
3323.49,netbanking,travel,active,insufficient_funds,BALANCE_LOW,1,3,3,0,0,0.0,7,4,0,1
3359.35,netbanking,food,active,transient,PROCESSING_TIMEOUT,1,19,10,9,1,0.4736842105263157,7,4,0,1
4662.97,upi,healthcare,none,network_failure,NETWORK_ERROR,2,18,11,7,5,0.3888888888888889,8,4,0,1
14641.47,upi,ecommerce,past_due,insufficient_funds,BALANCE_LOW,1,13,11,2,2,0.1538461538461538,9,4,0,0
250.68,credit_card,food,none,transient,GATEWAY_TIMEOUT,1,26,25,1,1,0.0384615384615384,10,4,0,1
530.11,credit_card,travel,none,transient,PROCESSING_TIMEOUT,1,21,19,2,1,0.0952380952380952,11,4,0,1
640.46,credit_card,travel,active,insufficient_funds,BALANCE_LOW,2,4,4,0,0,0.0,11,4,0,0
3839.21,upi,food,none,network_failure,NETWORK_ERROR,1,29,15,14,5,0.4827586206896552,12,4,0,1
1580.94,upi,healthcare,none,unknown,UNKNOWN_ERROR,3,21,19,2,2,0.0952380952380952,13,4,0,0
819.8,credit_card,ecommerce,none,insufficient_funds,BALANCE_LOW,1,7,7,0,0,0.0,14,4,0,1
1572.83,upi,food,none,merchant_error,INVALID_REQUEST,1,24,24,0,0,0.0,14,4,0,0
1239.77,credit_card,healthcare,none,insufficient_funds,INSUFFICIENT_FUNDS,1,29,15,14,6,0.4827586206896552,15,4,0,0
954.96,credit_card,healthcare,past_due,insufficient_funds,BALANCE_LOW,1,5,5,0,0,0.0,15,4,0,1
1372.55,upi,education,none,insufficient_funds,BALANCE_LOW,2,13,11,2,0,0.1538461538461538,16,4,0,0
1560.88,debit_card,saas,none,transient,PROCESSING_TIMEOUT,1,3,3,0,0,0.0,17,4,0,1
10381.97,credit_card,education,none,insufficient_funds,INSUFFICIENT_FUNDS,3,6,6,0,0,0.0,17,4,0,0
2049.87,upi,saas,none,authentication_failure,AUTH_FAILED,3,26,19,7,4,0.2692307692307692,17,4,0,1
953.9,credit_card,food,none,merchant_error,MERCHANT_CONFIGURATION_ERROR,2,1,1,0,0,0.0,20,4,0,0
2077.01,wallet,ecommerce,active,transient,PROCESSING_TIMEOUT,1,14,10,4,2,0.2857142857142857,21,4,0,1
2272.06,upi,saas,none,transient,GATEWAY_TIMEOUT,2,18,18,0,0,0.0,0,5,1,1
442.79,upi,ecommerce,none,transient,GATEWAY_TIMEOUT,1,4,0,4,1,1.0,0,5,1,0
4231.13,credit_card,food,none,insufficient_funds,BALANCE_LOW,3,23,22,1,1,0.0434782608695652,2,5,1,0
906.34,upi,healthcare,active,insufficient_funds,INSUFFICIENT_FUNDS,1,10,7,3,0,0.3,4,5,1,1
549.11,wallet,education,active,insufficient_funds,INSUFFICIENT_FUNDS,1,17,9,8,3,0.4705882352941176,4,5,1,0
1888.27,credit_card,healthcare,none,network_failure,CONNECTION_FAILED,1,25,21,4,1,0.16,6,5,1,1
734.75,credit_card,healthcare,past_due,transient,PROCESSING_TIMEOUT,1,3,2,1,0,0.3333333333333333,6,5,1,1
1788.74,netbanking,ecommerce,active,insufficient_funds,BALANCE_LOW,2,25,17,8,3,0.32,9,5,1,0
2968.44,credit_card,healthcare,none,transient,PROCESSING_TIMEOUT,3,19,14,5,5,0.2631578947368421,9,5,1,0
1975.07,debit_card,travel,none,merchant_error,MERCHANT_CONFIGURATION_ERROR,2,11,5,6,3,0.5454545454545454,10,5,1,0
4868.84,netbanking,education,none,merchant_error,INVALID_REQUEST,1,23,15,8,5,0.3478260869565217,10,5,1,0
1430.51,upi,healthcare,active,transient,PROCESSING_TIMEOUT,1,12,8,4,1,0.3333333333333333,11,5,1,1
159.81,upi,food,active,unknown,UNKNOWN_ERROR,1,22,22,0,0,0.0,12,5,1,0
4068.85,upi,healthcare,active,transient,PROCESSING_TIMEOUT,2,7,6,1,1,0.1428571428571428,13,5,1,1
1297.89,credit_card,travel,past_due,expired_payment_method,CARD_EXPIRED,3,27,18,9,9,0.3333333333333333,14,5,1,0
923.81,debit_card,food,none,transient,GATEWAY_TIMEOUT,1,14,10,4,1,0.2857142857142857,15,5,1,1
3033.8,credit_card,ecommerce,none,transient,GATEWAY_TIMEOUT,1,17,13,4,3,0.2352941176470588,15,5,1,1
1207.04,upi,travel,none,insufficient_funds,BALANCE_LOW,2,8,7,1,0,0.125,16,5,1,0
1309.92,credit_card,travel,active,transient,PROCESSING_TIMEOUT,1,19,16,3,2,0.1578947368421052,17,5,1,0
1337.09,upi,education,past_due,transient,GATEWAY_TIMEOUT,1,15,15,0,0,0.0,17,5,1,1
1038.68,debit_card,travel,none,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,13,13,0,0,0.0,17,5,1,1
328.99,upi,travel,past_due,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,6,6,0,0,0.0,18,5,1,1
2135.53,credit_card,travel,past_due,network_failure,CONNECTION_FAILED,2,16,11,5,3,0.3125,19,5,1,1
1731.73,debit_card,travel,active,authentication_failure,OTP_FAILED,2,20,19,1,0,0.05,20,5,1,1
179.87,debit_card,travel,active,merchant_error,INVALID_REQUEST,1,23,22,1,1,0.0434782608695652,22,5,1,0
1682.37,credit_card,healthcare,active,insufficient_funds,BALANCE_LOW,2,14,12,2,2,0.1428571428571428,23,5,1,0
832.02,upi,saas,active,network_failure,CONNECTION_FAILED,2,5,4,1,0,0.2,0,6,1,1
1426.89,upi,healthcare,none,transient,PROCESSING_TIMEOUT,3,22,18,4,0,0.1818181818181818,1,6,1,1
4757.02,upi,saas,active,expired_payment_method,CARD_EXPIRED,3,6,5,1,1,0.1666666666666666,2,6,1,0
643.91,netbanking,saas,active,transient,GATEWAY_TIMEOUT,1,4,4,0,0,0.0,4,6,1,1
1157.99,credit_card,ecommerce,none,authentication_failure,AUTH_FAILED,1,10,7,3,2,0.3,5,6,1,0
2416.95,upi,travel,active,transient,PROCESSING_TIMEOUT,1,10,10,0,0,0.0,6,6,1,0
5003.79,credit_card,ecommerce,none,transient,PROCESSING_TIMEOUT,1,6,4,2,2,0.3333333333333333,7,6,1,1
2704.56,netbanking,healthcare,active,unknown,UNKNOWN_ERROR,1,15,14,1,0,0.0666666666666666,7,6,1,0
2745.68,credit_card,food,none,expired_payment_method,CARD_EXPIRED,1,7,6,1,1,0.1428571428571428,8,6,1,1
3263.38,netbanking,education,active,insufficient_funds,BALANCE_LOW,1,19,17,2,1,0.1052631578947368,9,6,1,0
1814.94,netbanking,food,none,insufficient_funds,INSUFFICIENT_FUNDS,1,10,8,2,2,0.2,11,6,1,0
14220.48,upi,ecommerce,none,expired_payment_method,PAYMENT_METHOD_EXPIRED,3,22,16,6,6,0.2727272727272727,11,6,1,0
1009.2,upi,ecommerce,active,insufficient_funds,INSUFFICIENT_FUNDS,1,7,5,2,2,0.2857142857142857,12,6,1,1
454.5,credit_card,education,past_due,network_failure,CONNECTION_FAILED,1,3,3,0,0,0.0,12,6,1,0
637.46,netbanking,travel,past_due,network_failure,CONNECTION_FAILED,1,16,15,1,0,0.0625,14,6,1,1
5673.47,debit_card,ecommerce,past_due,expired_payment_method,CARD_EXPIRED,2,12,7,5,2,0.4166666666666667,15,6,1,0
3864.48,upi,saas,active,network_failure,CONNECTION_FAILED,2,8,8,0,0,0.0,17,6,1,1
6017.52,wallet,saas,none,insufficient_funds,BALANCE_LOW,3,10,9,1,1,0.1,17,6,1,1
12638.37,credit_card,ecommerce,past_due,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,25,25,0,0,0.0,18,6,1,0
4833.08,netbanking,healthcare,active,merchant_error,MERCHANT_CONFIGURATION_ERROR,1,1,1,0,0,0.0,19,6,1,0
423.92,wallet,healthcare,none,insufficient_funds,BALANCE_LOW,2,25,17,8,6,0.32,19,6,1,0
5785.55,upi,saas,active,authentication_failure,OTP_FAILED,1,10,6,4,0,0.4,20,6,1,0
449.59,upi,food,none,transient,GATEWAY_TIMEOUT,1,3,3,0,0,0.0,22,6,1,1
1739.99,upi,travel,active,network_failure,CONNECTION_FAILED,2,10,8,2,2,0.2,23,6,1,1
2825.07,credit_card,food,none,expired_payment_method,CARD_EXPIRED,1,11,11,0,0,0.0,23,6,1,0
16927.68,upi,food,active,network_failure,CONNECTION_FAILED,1,23,17,6,4,0.2608695652173913,0,0,0,1
11619.86,upi,ecommerce,none,insufficient_funds,BALANCE_LOW,2,29,20,9,1,0.3103448275862069,0,0,0,0
2611.05,upi,saas,past_due,expired_payment_method,PAYMENT_METHOD_EXPIRED,2,17,6,11,7,0.6470588235294118,0,0,0,0
1315.2,upi,travel,past_due,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,20,20,0,0,0.0,1,0,0,1
443.06,credit_card,saas,active,merchant_error,INVALID_REQUEST,3,21,14,7,4,0.3333333333333333,1,0,0,0
210.6,upi,food,past_due,expired_payment_method,PAYMENT_METHOD_EXPIRED,2,8,5,3,2,0.375,4,0,0,0
2216.39,upi,food,active,insufficient_funds,BALANCE_LOW,1,22,11,11,2,0.5,4,0,0,1
567.94,credit_card,education,active,insufficient_funds,INSUFFICIENT_FUNDS,1,28,22,6,2,0.2142857142857142,4,0,0,1
1054.25,upi,travel,active,authentication_failure,OTP_FAILED,2,6,2,4,3,0.6666666666666666,5,0,0,1
4145.77,wallet,ecommerce,none,expired_payment_method,CARD_EXPIRED,3,6,6,0,0,0.0,5,0,0,0
974.09,netbanking,travel,none,network_failure,CONNECTION_FAILED,1,21,19,2,0,0.0952380952380952,6,0,0,1
7833.38,credit_card,food,active,insufficient_funds,BALANCE_LOW,2,22,20,2,1,0.0909090909090909,7,0,0,0
1913.02,credit_card,travel,none,unknown,UNKNOWN_ERROR,1,2,1,1,1,0.5,7,0,0,1
1370.87,upi,healthcare,none,network_failure,CONNECTION_FAILED,1,14,12,2,2,0.1428571428571428,8,0,0,1
1298.26,credit_card,travel,none,expired_payment_method,CARD_EXPIRED,2,17,15,2,1,0.1176470588235294,9,0,0,1
1997.11,upi,travel,active,expired_payment_method,PAYMENT_METHOD_EXPIRED,2,29,29,0,0,0.0,9,0,0,1
1218.63,upi,travel,active,insufficient_funds,INSUFFICIENT_FUNDS,2,4,2,2,2,0.5,10,0,0,1
2847.27,debit_card,food,active,insufficient_funds,BALANCE_LOW,3,12,9,3,3,0.25,10,0,0,0
2150.4,wallet,ecommerce,none,unknown,UNKNOWN_ERROR,1,19,10,9,1,0.4736842105263157,11,0,0,1
1846.53,credit_card,travel,none,insufficient_funds,BALANCE_LOW,1,11,11,0,0,0.0,13,0,0,1
1079.54,upi,food,none,expired_payment_method,CARD_EXPIRED,1,8,5,3,3,0.375,13,0,0,1
676.86,credit_card,saas,none,expired_payment_method,CARD_EXPIRED,1,26,13,13,1,0.5,14,0,0,0
1037.78,upi,ecommerce,active,expired_payment_method,CARD_EXPIRED,1,16,12,4,0,0.25,14,0,0,1
2876.27,upi,healthcare,active,authentication_failure,OTP_FAILED,3,2,1,1,0,0.5,16,0,0,0
2174.14,debit_card,ecommerce,active,expired_payment_method,CARD_EXPIRED,2,29,27,2,1,0.0689655172413793,17,0,0,0
5607.06,credit_card,education,active,transient,GATEWAY_TIMEOUT,2,18,14,4,0,0.2222222222222222,18,0,0,1
501.3,upi,ecommerce,active,expired_payment_method,CARD_EXPIRED,2,16,8,8,2,0.5,19,0,0,0
1823.5,netbanking,food,none,insufficient_funds,BALANCE_LOW,1,27,26,1,1,0.037037037037037,20,0,0,1
1516.56,upi,education,none,transient,GATEWAY_TIMEOUT,2,12,8,4,3,0.3333333333333333,20,0,0,1
379.8,netbanking,saas,active,transient,GATEWAY_TIMEOUT,1,22,14,8,1,0.3636363636363636,20,0,0,0
952.01,netbanking,education,none,network_failure,NETWORK_ERROR,1,19,18,1,1,0.0526315789473684,21,0,0,0
3065.9,upi,ecommerce,active,network_failure,CONNECTION_FAILED,1,18,13,5,1,0.2777777777777778,22,0,0,1
2044.58,upi,saas,past_due,unknown,UNKNOWN_ERROR,1,15,13,2,0,0.1333333333333333,23,0,0,1
1932.6,upi,ecommerce,active,insufficient_funds,INSUFFICIENT_FUNDS,3,18,13,5,2,0.2777777777777778,0,1,0,0
698.97,credit_card,food,none,expired_payment_method,CARD_EXPIRED,1,16,14,2,0,0.125,0,1,0,0
5798.55,upi,travel,none,unknown,UNKNOWN_ERROR,1,14,11,3,0,0.2142857142857142,1,1,0,0
593.4,credit_card,food,none,network_failure,NETWORK_ERROR,1,24,15,9,7,0.375,2,1,0,1
6373.59,wallet,food,none,insufficient_funds,INSUFFICIENT_FUNDS,1,6,6,0,0,0.0,3,1,0,0
3757.44,upi,food,none,insufficient_funds,BALANCE_LOW,1,26,23,3,1,0.1153846153846153,3,1,0,0
1142.31,wallet,ecommerce,none,authentication_failure,OTP_FAILED,2,27,24,3,2,0.1111111111111111,4,1,0,0
1282.61,upi,healthcare,active,unknown,UNKNOWN_ERROR,3,23,20,3,2,0.1304347826086956,5,1,0,0
144.71,upi,education,none,transient,GATEWAY_TIMEOUT,1,23,18,5,2,0.217391304347826,5,1,0,1
1788.91,upi,saas,none,transient,GATEWAY_TIMEOUT,1,22,16,6,0,0.2727272727272727,5,1,0,1
847.58,debit_card,education,none,transient,PROCESSING_TIMEOUT,3,10,10,0,0,0.0,7,1,0,0
447.99,upi,healthcare,active,merchant_error,INVALID_REQUEST,1,17,15,2,2,0.1176470588235294,8,1,0,0
5874.91,wallet,ecommerce,none,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,27,26,1,0,0.037037037037037,10,1,0,0
2749.6,upi,saas,active,authentication_failure,OTP_FAILED,1,7,6,1,1,0.1428571428571428,10,1,0,1
1004.16,upi,food,active,authentication_failure,OTP_FAILED,1,23,20,3,2,0.1304347826086956,10,1,0,1
1845.5,upi,education,none,authentication_failure,AUTH_FAILED,2,17,13,4,2,0.2352941176470588,11,1,0,0
3258.18,upi,education,active,unknown,UNKNOWN_ERROR,1,13,11,2,2,0.1538461538461538,11,1,0,0
1642.94,wallet,ecommerce,none,transient,GATEWAY_TIMEOUT,1,26,22,4,1,0.1538461538461538,11,1,0,1
1369.27,upi,ecommerce,active,expired_payment_method,CARD_EXPIRED,1,29,27,2,1,0.0689655172413793,12,1,0,1
2759.86,credit_card,travel,active,expired_payment_method,PAYMENT_METHOD_EXPIRED,2,20,20,0,0,0.0,13,1,0,0
2560.04,wallet,education,none,transient,PROCESSING_TIMEOUT,1,15,10,5,0,0.3333333333333333,15,1,0,1
3560.6,upi,travel,none,insufficient_funds,BALANCE_LOW,1,16,13,3,0,0.1875,15,1,0,1
1068.05,debit_card,food,active,transient,PROCESSING_TIMEOUT,3,13,9,4,3,0.3076923076923077,15,1,0,1
544.09,debit_card,travel,none,authentication_failure,AUTH_FAILED,1,14,13,1,1,0.0714285714285714,16,1,0,1
3824.12,wallet,ecommerce,active,transient,PROCESSING_TIMEOUT,3,21,20,1,1,0.0476190476190476,17,1,0,0
6170.57,credit_card,education,none,insufficient_funds,INSUFFICIENT_FUNDS,2,22,18,4,2,0.1818181818181818,17,1,0,0
1268.55,debit_card,ecommerce,active,insufficient_funds,INSUFFICIENT_FUNDS,2,19,17,2,0,0.1052631578947368,17,1,0,0
1727.86,credit_card,food,none,insufficient_funds,INSUFFICIENT_FUNDS,3,5,2,3,2,0.6,17,1,0,0
2899.32,debit_card,food,active,transient,PROCESSING_TIMEOUT,1,21,16,5,4,0.238095238095238,19,1,0,1
334.56,upi,education,none,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,3,1,2,1,0.6666666666666666,20,1,0,1
1559.66,wallet,saas,none,transient,GATEWAY_TIMEOUT,1,16,16,0,0,0.0,21,1,0,0
2598.89,wallet,food,none,network_failure,CONNECTION_FAILED,1,25,20,5,2,0.2,21,1,0,1
616.63,upi,ecommerce,active,network_failure,NETWORK_ERROR,1,5,5,0,0,0.0,22,1,0,1
928.4,upi,ecommerce,none,network_failure,CONNECTION_FAILED,3,5,5,0,0,0.0,22,1,0,1
15633.23,debit_card,ecommerce,past_due,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,21,20,1,1,0.0476190476190476,0,2,0,1
302.74,upi,travel,none,insufficient_funds,BALANCE_LOW,1,5,4,1,0,0.2,1,2,0,1
452.31,upi,saas,active,network_failure,CONNECTION_FAILED,1,22,19,3,2,0.1363636363636363,1,2,0,1
1695.45,upi,saas,active,transient,PROCESSING_TIMEOUT,1,3,1,2,0,0.6666666666666666,2,2,0,0
1836.4,credit_card,healthcare,none,expired_payment_method,CARD_EXPIRED,1,8,6,2,2,0.25,2,2,0,0
167.56,upi,food,none,insufficient_funds,BALANCE_LOW,2,27,23,4,4,0.1481481481481481,3,2,0,1
538.41,netbanking,healthcare,none,transient,PROCESSING_TIMEOUT,1,16,11,5,1,0.3125,3,2,0,1
5186.87,upi,ecommerce,none,transient,GATEWAY_TIMEOUT,1,29,25,4,4,0.1379310344827586,5,2,0,1
4722.62,netbanking,saas,active,transient,GATEWAY_TIMEOUT,2,13,12,1,1,0.0769230769230769,5,2,0,0
2268.16,wallet,saas,none,insufficient_funds,BALANCE_LOW,2,17,13,4,0,0.2352941176470588,6,2,0,0
2472.1,credit_card,food,none,network_failure,NETWORK_ERROR,2,12,12,0,0,0.0,6,2,0,1
724.15,debit_card,saas,none,insufficient_funds,INSUFFICIENT_FUNDS,2,2,1,1,0,0.5,6,2,0,0
2137.79,upi,food,past_due,insufficient_funds,BALANCE_LOW,3,14,9,5,3,0.3571428571428571,7,2,0,0
859.35,netbanking,ecommerce,none,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,10,10,0,0,0.0,7,2,0,1
827.89,credit_card,travel,none,transient,GATEWAY_TIMEOUT,1,17,11,6,4,0.3529411764705882,8,2,0,1
475.4,upi,saas,active,authentication_failure,AUTH_FAILED,1,23,20,3,1,0.1304347826086956,8,2,0,0
961.64,netbanking,food,none,authentication_failure,AUTH_FAILED,3,9,8,1,0,0.1111111111111111,8,2,0,0
1051.09,upi,ecommerce,none,insufficient_funds,INSUFFICIENT_FUNDS,2,25,19,6,0,0.24,9,2,0,0
672.48,upi,ecommerce,none,insufficient_funds,INSUFFICIENT_FUNDS,2,25,21,4,4,0.16,10,2,0,0
3229.9,credit_card,travel,past_due,authentication_failure,AUTH_FAILED,1,27,23,4,3,0.1481481481481481,12,2,0,1
2295.1,wallet,ecommerce,none,merchant_error,MERCHANT_CONFIGURATION_ERROR,1,5,5,0,0,0.0,13,2,0,0
1027.16,netbanking,healthcare,none,authentication_failure,OTP_FAILED,2,13,11,2,0,0.1538461538461538,14,2,0,0
2440.39,debit_card,education,active,authentication_failure,AUTH_FAILED,1,2,2,0,0,0.0,15,2,0,1
1815.23,netbanking,ecommerce,none,authentication_failure,OTP_FAILED,1,7,5,2,0,0.2857142857142857,16,2,0,1
2873.28,upi,food,none,insufficient_funds,BALANCE_LOW,1,24,14,10,8,0.4166666666666667,16,2,0,0
1127.99,upi,healthcare,none,network_failure,NETWORK_ERROR,1,25,25,0,0,0.0,17,2,0,1
3323.54,credit_card,education,active,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,18,13,5,5,0.2777777777777778,17,2,0,1
1343.99,credit_card,food,none,insufficient_funds,INSUFFICIENT_FUNDS,1,14,11,3,1,0.2142857142857142,17,2,0,1
2087.82,debit_card,education,none,transient,GATEWAY_TIMEOUT,2,15,11,4,3,0.2666666666666666,18,2,0,1
1173.19,upi,saas,active,network_failure,NETWORK_ERROR,3,27,18,9,4,0.3333333333333333,18,2,0,0
5322.67,upi,ecommerce,active,merchant_error,INVALID_REQUEST,1,2,2,0,0,0.0,19,2,0,0
799.06,credit_card,healthcare,past_due,insufficient_funds,INSUFFICIENT_FUNDS,1,12,10,2,1,0.1666666666666666,19,2,0,0
431.75,upi,healthcare,active,network_failure,NETWORK_ERROR,2,2,2,0,0,0.0,20,2,0,0
655.02,debit_card,education,past_due,transient,GATEWAY_TIMEOUT,1,18,15,3,2,0.1666666666666666,20,2,0,0
3624.76,upi,healthcare,none,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,19,18,1,0,0.0526315789473684,21,2,0,0
1575.1,upi,saas,none,transient,PROCESSING_TIMEOUT,1,20,18,2,1,0.1,23,2,0,1
7032.03,upi,food,none,insufficient_funds,BALANCE_LOW,3,10,6,4,4,0.4,0,3,0,0
3118.76,upi,healthcare,none,transient,GATEWAY_TIMEOUT,3,1,1,0,0,0.0,3,3,0,1
754.55,debit_card,healthcare,active,transient,GATEWAY_TIMEOUT,1,1,1,0,0,0.0,3,3,0,1
1161.99,credit_card,ecommerce,active,unknown,UNKNOWN_ERROR,1,29,29,0,0,0.0,4,3,0,1
1292.77,upi,education,past_due,authentication_failure,OTP_FAILED,1,4,2,2,0,0.5,5,3,0,1
4019.04,credit_card,education,none,unknown,UNKNOWN_ERROR,1,4,2,2,1,0.5,6,3,0,1
3121.98,debit_card,healthcare,active,merchant_error,MERCHANT_CONFIGURATION_ERROR,1,15,14,1,0,0.0666666666666666,10,3,0,0
5834.0,upi,healthcare,none,merchant_error,MERCHANT_CONFIGURATION_ERROR,1,22,21,1,0,0.0454545454545454,12,3,0,0
4489.97,upi,food,none,merchant_error,MERCHANT_CONFIGURATION_ERROR,2,8,6,2,2,0.25,12,3,0,0
2486.21,debit_card,food,none,insufficient_funds,INSUFFICIENT_FUNDS,1,2,2,0,0,0.0,14,3,0,0
889.14,wallet,ecommerce,none,authentication_failure,AUTH_FAILED,2,19,18,1,0,0.0526315789473684,14,3,0,1
4878.91,debit_card,education,none,authentication_failure,AUTH_FAILED,1,9,8,1,0,0.1111111111111111,15,3,0,1
1004.73,debit_card,travel,none,transient,GATEWAY_TIMEOUT,2,4,3,1,1,0.25,18,3,0,0
610.09,debit_card,ecommerce,past_due,transient,GATEWAY_TIMEOUT,2,26,14,12,11,0.4615384615384615,18,3,0,0
359.21,wallet,healthcare,active,transient,PROCESSING_TIMEOUT,2,9,9,0,0,0.0,19,3,0,1
751.36,upi,education,active,authentication_failure,AUTH_FAILED,1,27,12,15,15,0.5555555555555556,20,3,0,1
3063.75,credit_card,healthcare,none,transient,PROCESSING_TIMEOUT,1,19,14,5,2,0.2631578947368421,20,3,0,1
3749.11,credit_card,food,active,insufficient_funds,BALANCE_LOW,2,7,7,0,0,0.0,20,3,0,1
4055.77,upi,education,none,transient,PROCESSING_TIMEOUT,3,24,23,1,1,0.0416666666666666,21,3,0,0
6984.05,credit_card,saas,none,transient,PROCESSING_TIMEOUT,1,4,2,2,2,0.5,21,3,0,0
2956.92,debit_card,saas,none,network_failure,CONNECTION_FAILED,3,18,16,2,0,0.1111111111111111,22,3,0,0
413.66,upi,education,none,transient,PROCESSING_TIMEOUT,1,6,2,4,3,0.6666666666666666,22,3,0,1
2496.77,debit_card,food,none,merchant_error,MERCHANT_CONFIGURATION_ERROR,3,6,6,0,0,0.0,23,3,0,0
8112.8,netbanking,healthcare,past_due,insufficient_funds,INSUFFICIENT_FUNDS,2,7,7,0,0,0.0,23,3,0,0
1534.95,upi,healthcare,past_due,transient,GATEWAY_TIMEOUT,1,2,2,0,0,0.0,2,4,0,0
1439.36,wallet,education,active,expired_payment_method,CARD_EXPIRED,1,19,16,3,1,0.1578947368421052,3,4,0,0
4052.08,debit_card,saas,none,insufficient_funds,INSUFFICIENT_FUNDS,3,11,5,6,4,0.5454545454545454,3,4,0,0
2167.26,wallet,saas,none,insufficient_funds,INSUFFICIENT_FUNDS,1,25,16,9,0,0.36,4,4,0,0
2324.49,credit_card,education,active,insufficient_funds,INSUFFICIENT_FUNDS,1,2,0,2,2,1.0,4,4,0,0
