transaction_id,customer_id,timestamp,amount,currency,payment_method,merchant_category,subscription_status,payment_status,failure_category,failure_code,attempt_number,previous_transactions,previous_successes,previous_failures,previous_recovery_successes,customer_failure_rate,hour_of_day,day_of_week,is_weekend,recovery_probability,recovered
TXN_000024,CUST_07717,2026-01-01 05:45:00,2009.18,INR,netbanking,saas,none,failed,authentication_failure,OTP_FAILED,1,3,1,2,3,0.6666666666666666,5,3,0,0.4845,0
TXN_000025,CUST_02947,2026-01-01 06:00:00,5155.5,INR,upi,healthcare,active,successful,none,NONE,1,4,0,6,3,1.5,6,3,0,0.1096,0
TXN_000026,CUST_00089,2026-01-01 06:15:00,1139.78,INR,debit_card,travel,past_due,successful,none,NONE,1,4,2,2,4,0.5,6,3,0,0.3494,0
TXN_000027,CUST_02551,2026-01-01 06:30:00,1381.59,INR,upi,saas,active,successful,none,NONE,1,14,13,1,0,0.07142857142857142,6,3,0,0.4409,0
TXN_000028,CUST_06138,2026-01-01 06:45:00,12062.83,INR,upi,saas,active,failed,insufficient_funds,BALANCE_LOW,2,26,21,5,5,0.19230769230769232,6,3,0,0.1996,0
TXN_000029,CUST_06358,2026-01-01 07:00:00,920.65,INR,debit_card,food,active,failed,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,24,22,2,4,0.08333333333333333,7,3,0,0.652,0
TXN_000030,CUST_01446,2026-01-01 07:15:00,775.53,INR,upi,ecommerce,past_due,successful,none,NONE,1,8,4,4,3,0.5,7,3,0,0.5647,0
TXN_000031,CUST_04622,2026-01-01 07:30:00,1791.53,INR,upi,saas,none,failed,transient,PROCESSING_TIMEOUT,2,8,8,0,4,0.0,7,3,0,0.6401,0
TXN_000032,CUST_06336,2026-01-01 07:45:00,15842.05,INR,netbanking,saas,active,failed,transient,GATEWAY_TIMEOUT,2,20,19,1,0,0.05,7,3,0,0.5274,0
TXN_000033,CUST_01831,2026-01-01 08:00:00,2261.06,INR,upi,saas,past_due,failed,transient,GATEWAY_TIMEOUT,3,23,22,1,0,0.043478260869565216,8,3,0,0.4533,1
TXN_000034,CUST_06786,2026-01-01 08:15:00,995.7,INR,netbanking,ecommerce,active,successful,none,NONE,1,26,20,6,2,0.23076923076923078,8,3,0,0.4482,0
TXN_000035,CUST_07392,2026-01-01 08:30:00,3077.23,INR,upi,saas,none,successful,none,NONE,1,22,17,5,5,0.22727272727272727,8,3,0,0.4871,0
TXN_000036,CUST_00555,2026-01-01 08:45:00,3519.5,INR,upi,travel,none,successful,none,NONE,1,23,18,5,2,0.21739130434782608,8,3,0,0.6902,0
TXN_000037,CUST_02435,2026-01-01 09:00:00,3107.55,INR,netbanking,healthcare,none,successful,none,NONE,1,19,19,0,4,0.0,9,3,0,0.6985,0
TXN_000038,CUST_08873,2026-01-01 09:15:00,3640.83,INR,upi,education,active,successful,none,NONE,1,1,0,4,1,4.0,9,3,0,0.02,0
TXN_000039,CUST_06920,2026-01-01 09:30:00,4179.48,INR,debit_card,food,none,successful,none,NONE,1,13,11,2,4,0.15384615384615385,9,3,0,0.6628,0
TXN_000040,CUST_05594,2026-01-01 09:45:00,1603.33,INR,upi,education,active,failed,merchant_error,MERCHANT_CONFIGURATION_ERROR,2,19,15,4,0,0.21052631578947367,9,3,0,0.0783,0
TXN_000041,CUST_09824,2026-01-01 10:00:00,1603.33,INR,credit_card,food,active,failed,transient,GATEWAY_TIMEOUT,1,2,0,3,1,1.5,10,3,0,0.2071,0
TXN_000042,CUST_00203,2026-01-01 10:15:00,3837.1,INR,debit_card,ecommerce,none,successful,none,NONE,1,28,28,0,0,0.0,10,3,0,0.512,0
TXN_000043,CUST_07154,2026-01-01 10:30:00,199.48,INR,netbanking,healthcare,active,successful,none,NONE,1,11,7,4,1,0.36363636363636365,10,3,0,0.3842,0
TXN_000044,CUST_04543,2026-01-01 10:45:00,174.58,INR,debit_card,food,active,successful,none,NONE,1,13,12,1,1,0.07692307692307693,10,3,0,0.5115,0
TXN_000045,CUST_08011,2026-01-01 11:00:00,1051.19,INR,upi,healthcare,active,successful,none,NONE,1,8,3,5,3,0.625,11,3,0,0.3842,0
TXN_000046,CUST_09879,2026-01-01 11:15:00,1321.74,INR,upi,healthcare,past_due,failed,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,18,11,7,0,0.3888888888888889,11,3,0,0.2519,0
TXN_000047,CUST_00829,2026-01-01 11:30:00,3362.34,INR,upi,saas,active,successful,none,NONE,1,25,20,5,3,0.2,11,3,0,0.7771,0
TXN_000048,CUST_07171,2026-01-01 11:45:00,1168.33,INR,credit_card,saas,none,failed,transient,GATEWAY_TIMEOUT,3,17,10,7,2,0.4117647058823529,11,3,0,0.4832,1
TXN_000049,CUST_02023,2026-01-01 12:00:00,5168.68,INR,netbanking,food,active,successful,none,NONE,1,2,0,6,1,3.0,12,3,0,0.02,0
TXN_000050,CUST_08295,2026-01-01 12:15:00,2049.25,INR,upi,travel,none,failed,insufficient_funds,INSUFFICIENT_FUNDS,1,13,7,6,3,0.46153846153846156,12,3,0,0.3896,0
TXN_000051,CUST_09750,2026-01-01 12:30:00,891.97,INR,upi,saas,none,successful,none,NONE,1,12,9,3,3,0.25,12,3,0,0.5662,0
TXN_000052,CUST_04212,2026-01-01 12:45:00,5611.54,INR,upi,travel,none,successful,none,NONE,1,13,13,0,0,0.0,12,3,0,0.513,0
TXN_000053,CUST_04955,2026-01-01 13:00:00,2310.37,INR,credit_card,ecommerce,active,failed,insufficient_funds,INSUFFICIENT_FUNDS,1,28,22,6,2,0.21428571428571427,13,3,0,0.1865,0
TXN_000054,CUST_04088,2026-01-01 13:15:00,559.44,INR,upi,saas,past_due,successful,none,NONE,1,23,23,0,2,0.0,13,3,0,0.7151,0
TXN_000055,CUST_08296,2026-01-01 13:30:00,3582.59,INR,credit_card,saas,active,successful,none,NONE,1,4,4,0,2,0.0,13,3,0,0.7289,0
TXN_000056,CUST_06786,2026-01-01 13:45:00,3579.43,INR,upi,education,none,successful,none,NONE,1,26,20,6,2,0.23076923076923078,13,3,0,0.4618,0
TXN_000057,CUST_08999,2026-01-01 14:00:00,570.34,INR,netbanking,travel,active,failed,unknown,UNKNOWN_ERROR,1,6,2,4,5,0.6666666666666666,14,3,0,0.5323,1
TXN_000058,CUST_07167,2026-01-01 14:15:00,1982.4,INR,credit_card,travel,none,successful,none,NONE,1,22,18,4,5,0.18181818181818182,14,3,0,0.5845,0
TXN_000059,CUST_04656,2026-01-01 14:30:00,3102.11,INR,credit_card,travel,active,successful,none,NONE,1,23,20,3,1,0.13043478260869565,14,3,0,0.524,0
TXN_000060,CUST_02075,2026-01-01 14:45:00,402.21,INR,upi,food,none,failed,authentication_failure,OTP_FAILED,1,27,26,1,3,0.037037037037037035,14,3,0,0.541,1
TXN_000061,CUST_08719,2026-01-01 15:00:00,4654.08,INR,wallet,education,active,successful,none,NONE,1,21,21,0,5,0.0,15,3,0,0.6578,0
TXN_000062,CUST_06919,2026-01-01 15:15:00,968.7,INR,wallet,education,none,successful,none,NONE,1,3,3,0,0,0.0,15,3,0,0.5071,0
TXN_000063,CUST_03437,2026-01-01 15:30:00,826.25,INR,debit_card,travel,none,successful,none,NONE,1,20,15,5,0,0.25,15,3,0,0.4512,0
TXN_000064,CUST_05049,2026-01-01 15:45:00,1393.9,INR,upi,ecommerce,none,successful,none,NONE,1,1,0,4,3,4.0,15,3,0,0.02,0
TXN_000065,CUST_08490,2026-01-01 16:00:00,3377.36,INR,debit_card,ecommerce,active,failed,transient,PROCESSING_TIMEOUT,1,27,21,6,5,0.2222222222222222,16,3,0,0.772,0
TXN_000066,CUST_04873,2026-01-01 16:15:00,4415.91,INR,debit_card,food,none,successful,none,NONE,1,17,10,7,5,0.4117647058823529,16,3,0,0.5402,0
TXN_000067,CUST_00361,2026-01-01 16:30:00,8055.75,INR,upi,saas,none,successful,none,NONE,1,4,4,0,1,0.0,16,3,0,0.5384,0
TXN_000068,CUST_04600,2026-01-01 16:45:00,805.61,INR,upi,ecommerce,none,failed,authentication_failure,AUTH_FAILED,1,15,14,1,2,0.06666666666666667,16,3,0,0.5021,1
TXN_000069,CUST_06732,2026-01-01 17:00:00,2504.22,INR,upi,food,none,failed,transient,PROCESSING_TIMEOUT,3,24,20,4,5,0.16666666666666666,17,3,0,0.6359,1
TXN_000070,CUST_02078,2026-01-01 17:15:00,3325.2,INR,netbanking,ecommerce,none,failed,network_failure,NETWORK_ERROR,3,9,9,0,2,0.0,17,3,0,0.5563,1
TXN_000071,CUST_02174,2026-01-01 17:30:00,2784.49,INR,upi,ecommerce,active,successful,none,NONE,1,26,26,0,5,0.0,17,3,0,0.6656,0
TXN_000072,CUST_04692,2026-01-01 17:45:00,745.41,INR,debit_card,ecommerce,none,failed,transient,PROCESSING_TIMEOUT,1,14,10,4,4,0.2857142857142857,17,3,0,0.7695,1
TXN_000073,CUST_09782,2026-01-01 18:00:00,2267.7,INR,upi,saas,none,successful,none,NONE,1,27,24,3,4,0.1111111111111111,18,3,0,0.6664,0
TXN_000074,CUST_01390,2026-01-01 18:15:00,2404.0,INR,debit_card,travel,past_due,successful,none,NONE,1,29,26,3,5,0.10344827586206896,18,3,0,0.5365,0
TXN_000075,CUST_07963,2026-01-01 18:30:00,1022.7,INR,netbanking,food,none,successful,none,NONE,1,22,20,2,0,0.09090909090909091,18,3,0,0.5969,0
TXN_000076,CUST_05972,2026-01-01 18:45:00,2781.03,INR,debit_card,education,none,failed,transient,PROCESSING_TIMEOUT,1,19,18,1,4,0.05263157894736842,18,3,0,0.8965,1
TXN_000077,CUST_03515,2026-01-01 19:00:00,2171.79,INR,credit_card,ecommerce,none,successful,none,NONE,1,12,10,2,3,0.16666666666666666,19,3,0,0.5977,0
TXN_000078,CUST_08455,2026-01-01 19:15:00,532.81,INR,upi,education,active,successful,none,NONE,1,10,7,3,5,0.3,19,3,0,0.5549,0
TXN_000079,CUST_02920,2026-01-01 19:30:00,3183.07,INR,upi,saas,active,successful,none,NONE,1,21,18,3,5,0.14285714285714285,19,3,0,0.5705,0
TXN_000080,CUST_00002,2026-01-01 19:45:00,1995.26,INR,debit_card,saas,active,successful,none,NONE,1,20,16,4,0,0.2,19,3,0,0.3608,0
TXN_000081,CUST_01934,2026-01-01 20:00:00,328.2,INR,upi,education,none,failed,transient,GATEWAY_TIMEOUT,2,15,9,6,4,0.4,20,3,0,0.6297,1
TXN_000082,CUST_00394,2026-01-01 20:15:00,1374.24,INR,wallet,healthcare,none,failed,authentication_failure,OTP_FAILED,1,16,15,1,5,0.0625,20,3,0,0.5294,0
TXN_000083,CUST_08498,2026-01-01 20:30:00,2011.9,INR,wallet,ecommerce,active,failed,expired_payment_method,CARD_EXPIRED,1,15,14,1,3,0.06666666666666667,20,3,0,0.2873,0
TXN_000084,CUST_00530,2026-01-01 20:45:00,942.26,INR,upi,healthcare,past_due,successful,none,NONE,1,4,3,1,0,0.25,20,3,0,0.5275,0
TXN_000085,CUST_04624,2026-01-01 21:00:00,2384.48,INR,upi,ecommerce,none,failed,authentication_failure,OTP_FAILED,1,14,8,6,2,0.42857142857142855,21,3,0,0.5574,1
TXN_000086,CUST_09157,2026-01-01 21:15:00,1389.42,INR,debit_card,education,none,failed,network_failure,CONNECTION_FAILED,2,2,2,0,1,0.0,21,3,0,0.6973,1
TXN_000087,CUST_08863,2026-01-01 21:30:00,4529.68,INR,upi,travel,active,successful,none,NONE,1,4,0,6,5,1.5,21,3,0,0.3284,0
TXN_000088,CUST_04069,2026-01-01 21:45:00,2297.41,INR,debit_card,education,past_due,successful,none,NONE,1,16,13,3,2,0.1875,21,3,0,0.5602,0
TXN_000089,CUST_07508,2026-01-01 22:00:00,9986.46,INR,upi,education,none,successful,none,NONE,1,13,8,5,5,0.38461538461538464,22,3,0,0.4071,0
TXN_000090,CUST_06496,2026-01-01 22:15:00,491.69,INR,upi,ecommerce,none,failed,insufficient_funds,INSUFFICIENT_FUNDS,2,25,22,3,2,0.12,22,3,0,0.3571,0
TXN_000091,CUST_06954,2026-01-01 22:30:00,2400.43,INR,credit_card,education,none,successful,none,NONE,1,22,18,4,0,0.18181818181818182,22,3,0,0.4475,0
TXN_000092,CUST_05054,2026-01-01 22:45:00,1827.28,INR,upi,education,active,successful,none,NONE,1,18,16,2,2,0.1111111111111111,22,3,0,0.4566,0
TXN_000093,CUST_02673,2026-01-01 23:00:00,2628.25,INR,wallet,food,active,successful,none,NONE,1,13,10,3,3,0.23076923076923078,23,3,0,0.4513,0
TXN_000094,CUST_01714,2026-01-01 23:15:00,5844.62,INR,upi,healthcare,none,successful,none,NONE,1,17,11,6,0,0.35294117647058826,23,3,0,0.5049,0
TXN_000095,CUST_04045,2026-01-01 23:30:00,495.75,INR,wallet,healthcare,none,successful,none,NONE,1,27,25,2,1,0.07407407407407407,23,3,0,0.3376,0
TXN_000096,CUST_00636,2026-01-01 23:45:00,3110.94,INR,upi,education,none,failed,insufficient_funds,INSUFFICIENT_FUNDS,2,28,24,4,2,0.14285714285714285,23,3,0,0.2739,0
TXN_000097,CUST_05135,2026-01-02 00:00:00,2437.7,INR,debit_card,education,none,failed,transient,PROCESSING_TIMEOUT,1,5,4,1,0,0.2,0,4,0,0.5689,1
TXN_000098,CUST_06620,2026-01-02 00:15:00,793.77,INR,wallet,ecommerce,none,failed,transient,GATEWAY_TIMEOUT,1,23,18,5,4,0.21739130434782608,0,4,0,0.8786,1
TXN_000099,CUST_09310,2026-01-02 00:30:00,5247.02,INR,upi,healthcare,active,successful,none,NONE,1,25,23,2,0,0.08,0,4,0,0.6581,0
TXN_000100,CUST_07446,2026-01-02 00:45:00,1901.0,INR,credit_card,travel,active,failed,transient,PROCESSING_TIMEOUT,1,10,8,2,4,0.2,0,4,0,0.821,1
TXN_000101,CUST_06603,2026-01-02 01:00:00,922.44,INR,upi,ecommerce,active,successful,none,NONE,1,16,11,5,4,0.3125,1,4,0,0.7229,0
TXN_000102,CUST_00038,2026-01-02 01:15:00,2647.38,INR,upi,ecommerce,past_due,successful,none,NONE,1,27,27,0,5,0.0,1,4,0,0.5614,0
TXN_000103,CUST_09825,2026-01-02 01:30:00,4254.75,INR,upi,ecommerce,active,successful,none,NONE,1,11,8,3,3,0.2727272727272727,1,4,0,0.6713,0
TXN_000104,CUST_03776,2026-01-02 01:45:00,2395.5,INR,debit_card,ecommerce,none,failed,authentication_failure,AUTH_FAILED,2,20,14,6,4,0.3,1,4,0,0.4784,1
TXN_000105,CUST_04086,2026-01-02 02:00:00,1225.36,INR,debit_card,food,none,failed,network_failure,NETWORK_ERROR,1,8,8,0,5,0.0,2,4,0,0.805,1
TXN_000106,CUST_08711,2026-01-02 02:15:00,880.74,INR,credit_card,healthcare,past_due,failed,transient,PROCESSING_TIMEOUT,2,25,21,4,2,0.16,2,4,0,0.7583,1
TXN_000107,CUST_05121,2026-01-02 02:30:00,865.41,INR,upi,food,active,successful,none,NONE,1,28,26,2,4,0.07142857142857142,2,4,0,0.458,0
TXN_000108,CUST_06745,2026-01-02 02:45:00,3680.94,INR,upi,ecommerce,none,successful,none,NONE,1,18,16,2,1,0.1111111111111111,2,4,0,0.602,0
TXN_000109,CUST_01042,2026-01-02 03:00:00,4206.68,INR,debit_card,food,none,successful,none,NONE,1,11,4,7,5,0.6363636363636364,3,4,0,0.4024,0
TXN_000110,CUST_04716,2026-01-02 03:15:00,1435.33,INR,upi,travel,none,failed,insufficient_funds,BALANCE_LOW,2,25,19,6,1,0.24,3,4,0,0.16,0
TXN_000111,CUST_01395,2026-01-02 03:30:00,14720.17,INR,credit_card,healthcare,none,successful,none,NONE,1,2,0,3,0,1.5,3,4,0,0.02,0
TXN_000112,CUST_02870,2026-01-02 03:45:00,1452.56,INR,upi,ecommerce,none,successful,none,NONE,1,29,28,1,3,0.034482758620689655,3,4,0,0.7245,0
TXN_000113,CUST_03677,2026-01-02 04:00:00,1682.65,INR,credit_card,travel,none,successful,none,NONE,1,24,21,3,2,0.125,4,4,0,0.5819,0
TXN_000114,CUST_03722,2026-01-02 04:15:00,1260.8,INR,debit_card,saas,none,successful,none,NONE,1,25,24,1,3,0.04,4,4,0,0.6539,0
TXN_000115,CUST_05691,2026-01-02 04:30:00,1619.69,INR,netbanking,travel,none,successful,none,NONE,1,18,12,6,3,0.3333333333333333,4,4,0,0.6526,0
TXN_000116,CUST_05819,2026-01-02 04:45:00,1738.54,INR,upi,travel,none,successful,none,NONE,1,17,11,6,3,0.35294117647058826,4,4,0,0.6172,0
TXN_000117,CUST_00235,2026-01-02 05:00:00,3035.16,INR,credit_card,saas,none,successful,none,NONE,1,5,1,4,0,0.8,5,4,0,0.3324,0
TXN_000118,CUST_03141,2026-01-02 05:15:00,1510.95,INR,credit_card,education,none,successful,none,NONE,1,20,14,6,0,0.3,5,4,0,0.4773,0
TXN_000119,CUST_08639,2026-01-02 05:30:00,3106.87,INR,credit_card,education,active,successful,none,NONE,1,18,13,5,0,0.2777777777777778,5,4,0,0.3843,0
TXN_000120,CUST_08200,2026-01-02 05:45:00,427.65,INR,upi,food,none,successful,none,NONE,1,13,8,5,3,0.38461538461538464,5,4,0,0.5229,0
TXN_000121,CUST_01000,2026-01-02 06:00:00,1026.5,INR,debit_card,education,past_due,successful,none,NONE,1,11,9,2,4,0.18181818181818182,6,4,0,0.534,0
TXN_000122,CUST_01335,2026-01-02 06:15:00,1349.17,INR,upi,education,none,successful,none,NONE,1,23,23,0,4,0.0,6,4,0,0.664,0
TXN_000123,CUST_08326,2026-01-02 06:30:00,1430.94,INR,credit_card,healthcare,none,successful,none,NONE,1,12,11,1,5,0.08333333333333333,6,4,0,0.6025,0
TXN_000124,CUST_08248,2026-01-02 06:45:00,345.66,INR,credit_card,travel,none,failed,expired_payment_method,PAYMENT_METHOD_EXPIRED,2,18,11,7,0,0.3888888888888889,6,4,0,0.1112,1
TXN_000125,CUST_05089,2026-01-02 07:00:00,4028.01,INR,upi,saas,active,successful,none,NONE,1,17,15,2,0,0.11764705882352941,7,4,0,0.4684,0
TXN_000126,CUST_05480,2026-01-02 07:15:00,479.89,INR,upi,ecommerce,none,failed,transient,PROCESSING_TIMEOUT,3,5,4,1,0,0.2,7,4,0,0.4787,0
TXN_000127,CUST_06091,2026-01-02 07:30:00,1019.47,INR,upi,healthcare,none,successful,none,NONE,1,27,24,3,3,0.1111111111111111,7,4,0,0.6471,0
TXN_000128,CUST_01112,2026-01-02 07:45:00,1755.13,INR,upi,food,none,successful,none,NONE,1,15,15,0,4,0.0,7,4,0,0.6816,0
TXN_000129,CUST_09716,2026-01-02 08:00:00,11309.71,INR,debit_card,education,none,successful,none,NONE,1,2,0,5,5,2.5,8,4,0,0.02,0
TXN_000130,CUST_08336,2026-01-02 08:15:00,1716.2,INR,credit_card,healthcare,none,failed,insufficient_funds,INSUFFICIENT_FUNDS,1,10,5,5,2,0.5,8,4,0,0.2699,1
TXN_000131,CUST_02917,2026-01-02 08:30:00,2694.86,INR,credit_card,ecommerce,none,successful,none,NONE,1,5,5,0,2,0.0,8,4,0,0.5941,0
TXN_000132,CUST_06800,2026-01-02 08:45:00,473.38,INR,upi,education,none,successful,none,NONE,1,22,19,3,2,0.13636363636363635,8,4,0,0.5448,0
TXN_000133,CUST_02104,2026-01-02 09:00:00,848.96,INR,credit_card,travel,none,successful,none,NONE,1,2,2,0,2,0.0,9,4,0,0.5012,0
TXN_000134,CUST_08812,2026-01-02 09:15:00,962.33,INR,credit_card,food,none,successful,none,NONE,1,26,21,5,1,0.19230769230769232,9,4,0,0.5539,0
TXN_000135,CUST_05126,2026-01-02 09:30:00,1113.5,INR,debit_card,food,none,failed,transient,PROCESSING_TIMEOUT,3,10,9,1,2,0.1,9,4,0,0.5836,1
TXN_000136,CUST_06591,2026-01-02 09:45:00,4495.04,INR,upi,saas,active,successful,none,NONE,1,8,8,0,3,0.0,9,4,0,0.6523,0
TXN_000137,CUST_09601,2026-01-02 10:00:00,1098.59,INR,credit_card,healthcare,none,failed,transient,GATEWAY_TIMEOUT,3,10,5,5,1,0.5,10,4,0,0.356,1
TXN_000138,CUST_02922,2026-01-02 10:15:00,3112.49,INR,upi,ecommerce,none,successful,none,NONE,1,6,5,1,1,0.16666666666666666,10,4,0,0.3549,0
TXN_000139,CUST_04735,2026-01-02 10:30:00,899.62,INR,wallet,healthcare,active,successful,none,NONE,1,28,21,7,0,0.25,10,4,0,0.4215,0
TXN_000140,CUST_03374,2026-01-02 10:45:00,1399.62,INR,netbanking,ecommerce,none,successful,none,NONE,1,22,15,7,3,0.3181818181818182,10,4,0,0.5521,0
TXN_000141,CUST_06755,2026-01-02 11:00:00,207.77,INR,upi,travel,past_due,successful,none,NONE,1,24,24,0,1,0.0,11,4,0,0.4977,0
TXN_000142,CUST_00837,2026-01-02 11:15:00,1688.72,INR,netbanking,food,none,successful,none,NONE,1,13,7,6,4,0.46153846153846156,11,4,0,0.5165,0
TXN_000143,CUST_09778,2026-01-02 11:30:00,1777.78,INR,upi,education,none,successful,none,NONE,1,1,0,4,0,4.0,11,4,0,0.02,0
TXN_000144,CUST_09029,2026-01-02 11:45:00,1511.57,INR,upi,education,active,successful,none,NONE,1,1,0,5,0,5.0,11,4,0,0.02,0
TXN_000145,CUST_06708,2026-01-02 12:00:00,10555.54,INR,upi,ecommerce,none,successful,none,NONE,1,19,15,4,1,0.21052631578947367,12,4,0,0.4356,0
TXN_000146,CUST_05313,2026-01-02 12:15:00,1697.38,INR,netbanking,travel,none,successful,none,NONE,1,19,12,7,3,0.3684210526315789,12,4,0,0.5403,0
TXN_000147,CUST_09590,2026-01-02 12:30:00,155.29,INR,netbanking,ecommerce,none,successful,none,NONE,1,2,0,3,3,1.5,12,4,0,0.3247,0
TXN_000148,CUST_03823,2026-01-02 12:45:00,600.62,INR,wallet,ecommerce,past_due,failed,expired_payment_method,PAYMENT_METHOD_EXPIRED,1,11,7,4,5,0.36363636363636365,12,4,0,0.6005,0
TXN_000149,CUST_06154,2026-01-02 13:00:00,1731.53,INR,debit_card,ecommerce,past_due,failed,insufficient_funds,INSUFFICIENT_FUNDS,1,28,25,3,3,0.10714285714285714,13,4,0,0.42,1
TXN_000150,CUST_00805,2026-01-02 13:15:00,1675.61,INR,upi,saas,active,successful,none,NONE,1,27,23,4,2,0.14814814814814814,13,4,0,0.524,0
TXN_000151,CUST_01076,2026-01-02 13:30:00,866.02,INR,upi,education,none,successful,none,NONE,1,22,18,4,2,0.18181818181818182,13,4,0,0.6189,0
TXN_000152,CUST_09606,2026-01-02 13:45:00,717.96,INR,netbanking,healthcare,none,successful,none,NONE,1,21,21,0,3,0.0,13,4,0,0.562,0
TXN_000153,CUST_04453,2026-01-02 14:00:00,6264.5,INR,credit_card,healthcare,active,successful,none,NONE,1,28,26,2,3,0.07142857142857142,14,4,0,0.5589,0
TXN_000154,CUST_01664,2026-01-02 14:15:00,4386.72,INR,upi,education,active,successful,none,NONE,1,2,0,5,4,2.5,14,4,0,0.02,0
TXN_000155,CUST_07429,2026-01-02 14:30:00,4955.24,INR,upi,saas,past_due,successful,none,NONE,1,24,22,2,0,0.08333333333333333,14,4,0,0.5486,0
TXN_000156,CUST_02054,2026-01-02 14:45:00,1022.64,INR,upi,ecommerce,none,successful,none,NONE,1,8,4,4,3,0.5,14,4,0,0.5092,0
TXN_000157,CUST_02421,2026-01-02 15:00:00,3380.3,INR,upi,food,active,failed,transient,GATEWAY_TIMEOUT,1,21,18,3,3,0.14285714285714285,15,4,0,0.8286,1
